,Wall Street Journal,CNN,New York Times,Fox
10,"The coronavirus is killing residents in southeast Louisiana at higher rates than in any other parts of the U.S., a new analysis shows https://t.co/toqLvi66Jq","Eight US governors have decided against issuing statewide directives urging their residents to stay at home as the outbreak of the coronavirus escalates and spreads across the country, the last holdouts in the nation. https://t.co/8pKkZdNE13","“We don’t mind isolating ourselves. For us, it made all the difference.”
https://t.co/BX7vM7vqHo",https://t.co/9FU9A36yQs
11,The NYPD has seen a 75% increase in reports of burglaries of commercial establishments since New York City Mayor Bill de Blasio declared a state of emergency https://t.co/0wfTL5SjH6,"90-year-old Geneva Wood was recovering from a stroke when she contracted coronavirus. She says she thought she was going to die — but then she got better. 

“Do what you're supposed to and don't take chances and keep fighting,” she tells @sarasidnerCNN. https://t.co/2Znez2Za0d https://t.co/f8YOzOf6Ir",RT @Karan_Singhs: An enormous detention facility is under construction in the Indian state of Assam. But Mr. Modi denies it even exits. In…,https://t.co/7CzVy23L9L
12,"A gathering of the National Brotherhood of Skiers in Idaho was supposed to be a celebratory landmark. Instead, more than 100 attendees traveled back to their homes and developed symptoms of Covid-19. https://t.co/xvicOXec8p",How to make your own face mask https://t.co/N2zgfebXbB https://t.co/F5i1WddsTS,"The debate is in some ways ahead of the science: Researchers are uncertain, if hopeful, that antibodies in fact indicate immunity. But that hasn't stopped politicians from grasping at an idea that might have once been relegated to dystopian fiction.
https://t.co/qJfYfQp5Qr",https://t.co/OXHrKN0ekb
13,"Red and blue America are experiencing the coronavirus crisis in different ways, and that is affecting how their state leaders are tackling it  https://t.co/ThjxULmvSm","A doctor at a coronavirus quarantine unit in Duluth, Minnesota, was pulled over by a state trooper for speeding. But instead of a ticket, the cardiologist was handed five N95 masks the trooper was supposed to use as protection. https://t.co/CQx4jTqn4P","In Italy, some health officials and politicians are exploring whether antibodies in one’s blood — a potential marker of immunity — can be used to determine who can leave the country’s coronavirus lockdown
https://t.co/Qw3rSHRH1A",https://t.co/2gOqD84HhV
14,"From @WSJopinion: “The coronavirus pandemic has shown college students that, in an instant, our daily routines can be annihilated; our plans for the future disrupted; our lives endangered.” https://t.co/CnvJ3RId8U","As the numbers of deaths from coronavirus in the US continues to rise, some state leaders say there's still a lot they're missing in the battle against the virus. https://t.co/rynZ2dw2rz https://t.co/ViBguuM1HV","Keir Starmer, a former public prosecutor and human rights lawyer, will succeed Jeremy Corbyn as the leader of the Labour Party in the UK
https://t.co/vMqaAnmKsr",https://t.co/WZsAJeD6cA
15,"Bill Withers, who created a string of soulful songs in the ’70s that have stood the test of time, including ""Lean On Me,"" has died https://t.co/tq5UGzJYbb","New York Gov. Andrew Cuomo says there are about 500 unused ventilators across the state. The state is expected to receive 1,000 ventilators from China and 140 from Oregon. https://t.co/kZW9pIa3XN https://t.co/V1rEgU5lRl","What is happening in the Indian state of Assam is a preview of what may be coming to India as a whole as Prime Minister Narendra Modi tries to turn the secular country into a Hindu state
https://t.co/zWABbGy6wZ",https://t.co/8ZjOqBeUik
16,"Prizes for Powerball will drop significantly and rise more slowly after the next jackpot, making the coming days and weeks the last chance at a big payout for a while https://t.co/8hVxqIbZNa",Loss of smell has been reported as a symptom in some cases of Covid-19. Here's the best way to test yours: https://t.co/zrZXw9HFfo,"""Attention to our valued customers""
""Please be careful and be safe.""
""Margaritas and beers / To go / Sold with food only""
""WE PROMISE THE OPENING PARTY WILL BE FABULOUS!!""
https://t.co/8oWcq2l8Jf",https://t.co/oXTesu4VUq
17,"As local leaders urge residents to start wearing face masks to curb the spread of novel coronavirus, Americans are stepping out wearing a variety of coverings: some medical-grade and some handmade https://t.co/XJZY5jjXLP","New York Gov. Cuomo says the 2,500-bed coronavirus facility at NYC’s Javits Center is the “top operational priority” and will be staffed and equipped by the federal government.
 
“If that works well, that changes the numbers dramatically,” he says. https://t.co/kZW9pIa3XN https://t.co/fj6LDF2OFS","On our new podcast “Sugar Calling,” best-selling author Cheryl Strayed calls up the writers she admires in search of insight and courage in an uncertain moment.

Up first: George Saunders. Listen now 📞
https://t.co/lma4p0SKEB",https://t.co/t4wb81fyp1
18,"South Korea, one of the most successful nations in slowing the coronavirus’s spread, is extending social-distancing measures for at least two more weeks https://t.co/bURIynAlwv","New York Gov. Andrew Cuomo says New York is in the “seven-day range” for the apex of coronavirus cases, adding that the state is ""not yet ready"" for the high point. https://t.co/N1V1qvb5Hs https://t.co/l6oK0ik8Nd","A new study suggests that even in U.S. counties with a single reported coronavirus case, there's a more than 50% likelihood that a sustained, undetected outbreak — an epidemic — is already taking place.

Explore the data county by county here. https://t.co/BfYSHzZ9eR",https://t.co/uPK42QyDJ2
19,Some economists and executives say restricting key supplies risks undermining efforts to halt the coronavirus’s spread  https://t.co/VMbnePe6FU,How the cell phones of spring breakers who flouted coronavirus warnings were tracked https://t.co/EHonRqveTR,"Whether you’ve been making bread for years or you’re just trying to find your footing, @nytfood has some places to get started 
https://t.co/Gh4pvrLmeD",https://t.co/vwWnyCWkUv
20,Macy's stores closed. Detroit's factories shut down. Airlines sought bailouts. March was the month American business came unglued. https://t.co/Nhvahfk68d,"Eight US governors have decided against issuing statewide directives urging their residents to stay at home as the outbreak of the coronavirus escalates and spreads across the country, the last holdouts in the nation. https://t.co/iWGqQ4cnsa","Across the U.S., orders to stay home and to shutter businesses because of the coronavirus are being challenged by lawsuits alleging that the measures deny Americans their constitutional rights https://t.co/VLYEPVKeGg",https://t.co/oRK6fU1LI7
21,You knew there was a reason you didn't hop on decorating trends like open kitchen shelving. Design pros confirm your doubts. https://t.co/g7ga8y4OBM,"""I just love them and I want them to know that""

A good Samaritan decided to use the $900 he'd been saving to buy gas for Detroit nurses on the front lines. https://t.co/9BryBFJtSA https://t.co/LST0wVnnNi","Nick Stone's $50 million coffee business ""basically evaporated in 5 days"" because of the coronavirus outbreak. The Bluestone Lane founder documented his schedule now for our ""Like a Boss"" column, workweek diaries from busy people. https://t.co/uCD48uPPxb",https://t.co/u9sIzZTlbO
22,From @WSJopinion: Broadly deploying antibody tests that show immunity will be critical to saving lives and getting Americans back to work. https://t.co/5iwQmTzYRe,Jeff Bezos is donating $100 million to US food banks to help them feed a growing number of out-of-work Americans who are losing their jobs during the ongoing coronavirus pandemic. https://t.co/p5lecMlWe2,"The Library of Congress is the biggest library in the world, and it has a trove of online offerings. That means its virtual doors are open, even as it's Washington location is closed.

It's one of @ManohlaDargis's favorite places to get lost in. https://t.co/vUIgWsRHYP",https://t.co/obe9whPmbo
23,Passover recipes that keep this year's seder simple but still celebratory https://t.co/tg9Mpebh0J,Kentucky is taking severe measures to ensure residents exposed to the coronavirus stay at home. Louisville residents who have been in contact with coronavirus patients but refuse to isolate themselves are being made to wear ankle bracelets. https://t.co/2i7mmkC2tU,RT @nytimesworld: Berlin makes coronavirus compensation money easily available so self-employed people can pay their rent. https://t.co/HeU…,https://t.co/fB1tmwME6O
24,"People once used coffee to fuel extraordinary acts of worship and creativity. Now we rely on it to meet the demands of everyday life, writes historian Augustine Sedgewick. https://t.co/q2QQ9Xznqx","In 2005, Scottish author Peter May wrote a book about a global pandemic that forces officials to institute a lockdown. The novel was rejected by publishers at the time for being too unrealistic.

On Thursday, the book was finally published. https://t.co/NHbhLUMpvw","10 new books recommended by critics and editors at The New York Times
https://t.co/kXaB5f076d",https://t.co/vFkMhMbkUP
25,"If you buy an emergency desk to work from home now, what will you do with it post-quarantine? Try one of these six double-duty options. https://t.co/wIRrOlSBtq","Barun Mathema, an epidemiology professor, tells @smerconish that prisons are risky for spreading coronavirus — and could spill over to the general population. 

“Prisons themselves can really incubate infections so that a large number of individuals can be infected.” https://t.co/Ia7Cblq56w","RT @amyyqin: For the CCP, even grief is a potential threat to stability that needs to be controlled. In Wuhan, officials are pushing famili…",Closed indefinitely: Grand Canyon National Park is now off-limits to visitors after an employee tested positive for the coronavirus. https://t.co/C7gCpMyrbj
26,"A key ingredient in hand sanitizers and medical disinfectants has become hard to obtain, triggering its price to surge to an all-time high. https://t.co/nIlxibrVPs","A doctor at a coronavirus quarantine unit in Duluth, Minnesota, was pulled over by a state trooper for speeding. But instead of a ticket, the cardiologist was handed five N95 masks the trooper was supposed to use as protection. https://t.co/aDz6sPxoFs","The elusive South Philippine dwarf kingfisher is difficult to photograph, and there were no known photographs of its fledglings https://t.co/ZYawT3Fzk8","Fountains of Wayne co-frontman Adam Schlesinger, a Grammy-winning musician and songwriter, has died from coronavirus complications, his longtime lawyer said. https://t.co/Z8zSa002tU"
27,Take a look at the front page of today's Wall Street Journal https://t.co/NeEWg1npfS https://t.co/l713GTvLdX,"Louisiana GOP Sen. Bill Cassidy, a doctor, tells @smerconish that the US should have a coronavirus immunity registry. 

“We need this information. It would allow people to return to work, to be comfortable that they won't get infected if they go to the grocery store, etc.” https://t.co/QTVyp8MfMx",Read updates in Chinese: 新冠病毒疫情最新消息  https://t.co/6MOlKtWLK2,"First responders and hospital workers on the front lines of the coronavirus crisis are at risk of bringing the illness to their families without more protective gear and testing, a former FDNY deputy chief who responded on Sept. 11, 2001, tells Fox News. https://t.co/xAAjrrnIsd"
28,Are robots taking over the coronavirus disinfectant fight? https://t.co/0NXowliTAR,"“We do not have a blueprint for this,” law and global health professor Polly Price says to @smerconish about different coronavirus policies across states.

“The perspective that I worry about is that when a state turns state residents…against the populations of other states.” https://t.co/FJHhIJsxKe","—China pushes for quiet burials as its virus toll is questioned.

—CDC says all Americans should wear masks. President Trump says he won’t.

—New York State reported its highest number of deaths from the coronavirus in a single day.

https://t.co/VFRPWrxQHf https://t.co/WJxKU1uHag","China lied about coronavirus outbreak figures, putting the world in jeopardy, U.S. intelligence agents say. https://t.co/gQNoHatkf1"
29,"FedEx, UPS made appeals to top Trump administration officials for help with China’s new coronavirus policies as they seek to protect supply chains https://t.co/9RxPyJr5Xh","This inseparable couple had been married for more than 51 years. They started feeling ill last month, and on Sunday, they both died — six minutes apart — due to complications from Covid-19. https://t.co/eAom0lfZc4","RT @maggieNYT: The Atkinson firing was one of a string of moves the president made to change IGs in various posts, and to install a WH coun…","EXCLUSIVE: Joe Biden is offering to call President Trump to discuss a strategy to combat the coronavirus pandemic rocking the nation, Fox News has learned. https://t.co/JWPeSrhxWt"
30,Huawei's chairman says the U.S. should expect countermeasures from China if it further restricts tech giant’s access to suppliers https://t.co/WIV36Agjkn,"Portugal has temporarily given all migrants and asylum seekers full citizenship rights, granting them full access to the country's healthcare as the outbreak of the novel coronavirus escalates in the country https://t.co/HOjCmKtXg8","RT @charlie_savage: Late on a Friday night in the midst of the Covid-19 crisis, Trump has fired Michael Atkinson, the intelligence communit…",https://t.co/X2cMkVchx9
31,A daughter left behind. A fake kidnapping gone wrong. A secretive group made cracks in Kim Jong Un’s regime—until a series of mishaps upended its efforts. https://t.co/q2NOpd4uQY,"Research scientist Jeremy Howard says the CDC should’ve encouraged wearing face coverings since the beginning of the coronavirus outbreak. 

“Masks are the closest thing we have right now to this kind of imperfect vaccine,” he tells @smerconish. https://t.co/1uQswbc2oq https://t.co/OndJFgbWtG","RT @maggieNYT: ""The interplay was a rare instance of Mr. Trump doing in real time on camera what officials have repeatedly denied that he d…",Researchers are racing to determine who is more likely to get infected or succumb to COVID-19. https://t.co/jEjVi18g6T
32,The U.S. investment managers could be one of the first few foreign companies to manage and sell mutual funds in China https://t.co/PYPpjejTWq,".@smerconish: “Common sense dictates that where the virus does not respect boundaries—be they countries, states, communities—we need uniformity. Piecemeal, patchwork, ad hoc approaches, they don't cut it … Today’s safe space will be tomorrow’s epicenter” https://t.co/eTOXBdV2Qr https://t.co/BCu7VziGe0","In Los Angeles, some community-supported agriculture services, or CSAs, have seen their membership triple in just a few weeks https://t.co/j2Z189Hyd0",A woman's Facebook post about getting restaurant meals to health workers in the coronavirus fight has helped inspire a nationwide movement. https://t.co/KzsPYO6dxj
33,"From @WSJopinion: My daughter’s public school district isn’t offering online classes during the pandemic in the name of ""equity,"" writes @stevendsolomon https://t.co/t2JVU55ppT",How to make your own face mask https://t.co/g6NSwcRLzp https://t.co/7au4mTh1XY,An intense debate has played out inside the West Wing over the past several days as a divided administration argued about whether to tell all Americans to wear a mask when they leave their homes https://t.co/aL2KhZ8ZWH,A Chicago Bears wide receiver is on a mission to feed children in communities hit hard by the coronavirus pandemic. https://t.co/9KZXyycmOc
34,"Heard on the Street: Allowing foreign central banks to access the Fed’s repo facilities is effectively cost-free, benefits American lenders and borrowers, and cements the dollar’s dominance  https://t.co/oxqjlkrHN3",A woman flying to see her dying mother was a plane’s only passenger. Two flight attendants turned her trip into something to remember in a good way. https://t.co/1wFkqs2ogS https://t.co/6zr4yskFfa,RT @FlitterOnFraud: The government’s small business aid program launched today...sort of. ⁦@StacyCowley⁩ and I heard from a lot of frustrat…,"A member of the New Jersey National Guard who died from the coronavirus had started showing symptoms just days before, his daughter told Fox News. https://t.co/CTMqicX0SX"
35,"It was when the NBA suspended its season. That’s when it dawned on America’s top CEOs that their world was collapsing. (Corrects an earlier tweet that said the season was canceled, which has been deleted) https://t.co/SHbeyqgUFG","""My babies are too young to read this now. And they’d barely recognize me in my gear. But if they lose me to COVID I want them to know Mommy tried really hard to do her job."" https://t.co/McgW7aIKec","In Opinion

Tweed Roosevelt writes: ""Captain Crozier joins a growing list of heroic men and women who have risked their careers over the last few weeks to speak out about life-threatening failures to treat the victims of this terrible pandemic."" https://t.co/3JjTN9wd7B","President Trump has warned the U.S. is in for ""a very painful two weeks."" https://t.co/TbE83nG5tz"
36,Here's an early look at the front page of The Wall Street Journal's weekend edition https://t.co/BjQdADBPHx https://t.co/dVe78chJRv,"Custom auto shops across the US are banding together to make 20,000 face shields for health care workers https://t.co/0ePEdvx9eT https://t.co/AtgvJ7Qh02",Breaking News: President Trump is firing the intelligence community watchdog who was key in fielding the whistle-blower complaint that triggered the impeachment https://t.co/I2vNvUG0sD,"Take precautions before you exercise, researchers say. https://t.co/Fk2LCF1JdQ"
37,"Local television stations are experiencing a surge in viewership, but they are unlikely to benefit financially because of a cutback in advertising spending https://t.co/yY2BFvbNdt",Unemployed workers battle busy signals and long waits to file for benefits https://t.co/eT3v0SbCxm,"On our new podcast “Sugar Calling,” best-selling author Cheryl Strayed calls up the writers she admires in search of insight and courage in an uncertain moment.

Up first: George Saunders. Listen now 📞
https://t.co/lZvU2BUdIs","Tackling coronavirus
https://t.co/3NKE2bYxNN"
38,"China's factory activity expands after sharp contractions, though hopes for a speedy recovery dim https://t.co/cOVyCAJZ43",112-year-old Robert Weighton has been officially confirmed as the world's oldest man https://t.co/BS6JEGcuk6 https://t.co/MnH1Z3HTvX,"A surge in coronavirus deaths in the U.S. has prompted the vast majority of governors to order their residents to stay home, but a small number of states are resisting urgent calls to shut down their states https://t.co/eD6X50iK7i",https://t.co/EKfIB2lMgL
39,Watch: President Trump said the CDC is recommending the voluntary use of face coverings for Americans to help reduce transmission of the novel coronavirus https://t.co/oWan8JKfCz,"In 2014, two winter storms in Georgia kept people in their homes for a while. Three doctors write for @CNNOpinion about what they observed in the hospitals where they were working and what that can teach us about the impact of social distancing. https://t.co/0gIA2O5D0D","RT @nytgraphics: “I worry that many local officials are waiting until there is clear evidence of local transmission before taking action,”…",https://t.co/KIoT2VnC0t
40,"Coronavirus is rampant in Germany but most of its factories are still humming, sketching a blueprint for countries seeking to support economies through the pandemic https://t.co/RIPiId3l6e","A herd of goats was spotted roaming the deserted streets of a coastal town in Wales, eating hedges and bushes https://t.co/bQZer8LpHX https://t.co/OrEDlTUL2v","In New York City, hospitals are calling for all hands on deck from surgical specialists to nurses, physician assistants and administrative staff. Some who have not done an ICU shift in years are retooling themselves overnight — and not always voluntarily. https://t.co/uWxvnSBIEL",https://t.co/bdUjwpQNqe
41,"If you've read a book in a car, you probably know what motion sickness feels like. @timkhiggins visits a tech company that's betting its suspension technology could provide a solution https://t.co/py9l7cQlbU","Secretary of State Mike Pompeo sent a cable to all diplomatic and consular posts to clarify where US diplomats overseas should direct incoming requests for Covid-19 medical supplies from foreign governments, authorities and international organizations https://t.co/5IxCwVmSAR",RT @EricSchmittNYT: The Navy fired the captain of a virus-stricken ship in the Pacific.  Said he cracked under pressure.  See how the crew…,Army researchers at Fort Detrick are fast at work testing treatment options with an eye toward eventually finding a coronavirus vaccine. https://t.co/qCSti07EUR
42,Trump tells Congress he intends to fire the intelligence-community inspector general who determined the whistleblower complaint regarding Ukraine was urgent and credible https://t.co/Xydr62j5Zp,"New Jersey emergency room doctor Frank Gabrin knew he could contract coronavirus when he walked into work to treat patients.

But still he continued, and about a week after contracting the virus Gabrin died in his husband's arms. https://t.co/l4pm4zUPZn","The trajectory of the coronavirus pandemic varies widely from country to country, but many are far from flattening their curve. See more data for nations with more than 50 confirmed cases here. https://t.co/Dc8i5h1Ku0","FOX and iHeart Media’s ""Living Room Concert for America"" has raised nearly $8 million and counting for Feeding America and First Responders Children’s Foundation. https://t.co/qxeydQXAit"
43,"Google will share some of its user location data, covering 131 countries, to help public health officials track people’s movements amid the coronavirus pandemic https://t.co/k8cg9BYkSb","Of all the music genres, it's been jazz that's been struck especially hard by Covid-19, Gene Seymour writes for @CNNOpinion https://t.co/k04xPrfpWc","And in the U.S., the number of new confirmed cases is still multiplying rapidly, as some states continue to resist the most stringent measures. https://t.co/Dc8i5h1Ku0 https://t.co/blj0fQqteJ","A New Jersey National Guardsman has died after being hospitalized for over a week, becoming the first U.S. service member to succumb to the coronavirus, the Pentagon announced. https://t.co/JdbY87Y04Y"
44,"The coronavirus pandemic means professional sports are off, and sports bettors are desperate to find some action. “I wanted someone I could root for.” https://t.co/omjc8LGEoW","Even in times of crisis, art thieves have kept busy: A painting by Vincent van Gogh was stolen during an overnight raid at a museum closed due to Covid-19. Here are some other famous stolen works of art -- some found, some still missing. https://t.co/fdi8p88SDM","China, where the pandemic began, appears to have drastically reduced both the number of new cases and new deaths. But it’s possible that the country is vastly understating its coronavirus totals. https://t.co/Dc8i5h1Ku0 https://t.co/ea8irEkGCE",President Trump announced the U.S. has tested over 1 million people for the coronavirus as he unveiled a new rapid test kit designed to give results within five minutes. https://t.co/QRus2cgGew
45,President Trump has nominated a White House lawyer to serve as an oversight chief for business loans in the $2 trillion coronavirus economic rescue package https://t.co/NAXQ2yncCo,"""You never know what will break you in a time like this, with your bones feeling hollow and your heart beating fast. It happened to me on a Sunday afternoon, when I heard Joe Diffie was dead,"" @thomaslake writes for @CNNOpinion https://t.co/F40gxsEV70","In Italy, the number of new coronavirus cases appears to be leveling off, most likely because of the country’s strict lockdown efforts. But the death toll continues to climb. https://t.co/Dc8i5h1Ku0 https://t.co/oTRRmqvakm",President Trump and the White House coronavirus task force are giving updates on the fight as the number of cases grows. https://t.co/F2nzhiWDp7
46,"From @WSJopinion: I learned in Iraq why supply chains are so vital. There are lessons for America in the current crisis, writes James Williams. https://t.co/3xjtUz9IME","Around the world, seismologists are observing a lot less ambient seismic noise — the vibrations generated by cars, trains, buses and people going about their daily lives. In the absence of that noise, Earth's upper crust is moving just a little less. https://t.co/PrV598RZYJ","These charts are not without limitations. Still, they provide a way to measure the overall trajectory of the coronavirus in each country and give insight into which ones are far from controlling the virus. https://t.co/Dc8i5h1Ku0 https://t.co/xtBdsbZ5Kc",Dr. Tom Frieden: Coronavirus straight talk – the letter that should be sent to every American https://t.co/yNVDK4AHwP
47,Medical equipment is scarce around America. Clothing manufacturers are stepping in to help. https://t.co/miA4hROCMs,"When Jared Kushner stood at the White House podium on Thursday, what Americans heard was ""a spine-chilling performance from a believer in small government, delivered at a time when only big government can save the day,"" @FridaGhitis writes for @CNNOpinion https://t.co/xsVCaUMax6","All of these countries have seen an average of more than 2,000 coronavirus cases per day in the past week, and most of them are not showing any signs of a slowdown. https://t.co/Dc8i5h1Ku0 https://t.co/ZDT3Fejaj7","Help arrives
https://t.co/gpJwYL4m4A"
48,Several U.S. airlines say they still need more cash as they face an existential crisis that doesn’t look likely to abate soon https://t.co/B4claDSgIx,"When the coronavirus outbreak reached Hong Kong, domestic worker Jinkie Alhambra followed guidance from the government and stayed home on her day off.

But she ended up getting infected anyway, inside the apartment where she lives with her employer: https://t.co/95TKNcJDig https://t.co/cuKRmlp9L1","The number of new coronavirus cases each day appears to be falling in some nations — what’s known as flattening the curve. 

But the number of new confirmed cases is still rising in the U.S., Spain, Germany and other countries. https://t.co/btQHaiMsFl","Fox News exclusive:
https://t.co/bbfpny8vnr"
49,CEOs are pondering a tough coronavirus question: What happens to my company if I get sick? https://t.co/EtxOXOrni6,"CNN anchor Brooke Baldwin announced on Friday that she tested positive for coronavirus.

""I am OKAY,"" Baldwin said in an Instagram post. ""It came on suddenly yesterday afternoon. Chills, aches, fever."" https://t.co/mWwByMBl1S",This meditation in 10 easy steps is an exercise to help your body release the stress of constantly bracing for a disaster https://t.co/xfXr9n5vEm https://t.co/Smv2mFsBor,"The USNS Comfort, a massive Navy hospital ship, is scheduled to arrive in New York City on Monday. https://t.co/7rgh6NHE0O"
50,"If you or a family member gets infected with the coronavirus, it is very likely that you'll have to ride it out at home. Here is what doctors say you need to be ready. https://t.co/y7XISkAoyO",Transparent solar cells mean every window in your house could ultimately generate energy https://t.co/6rReRtEAPs,"New York, the increasingly battered epicenter of the coronavirus outbreak in the U.S., on Friday reported its highest number of deaths in a single day https://t.co/tSGrgxWDNV","President Trump declared that ""the peak in death rate"" in the coronavirus pandemic ""is likely to hit in two weeks,"" and said the federal government will be extending its social-distancing guidelines through April 30. https://t.co/AbT252DH2g"
51,A Yale-educated former human-rights activist had one goal: bring down the regime of Kim Jong Un https://t.co/fp0xylOvYp,"New York's Empire State Building was lit up like an ambulance siren on Monday night in tribute to medical workers fighting coronavirus.

The Empire State Realty Trust said the lights symbolized ""America’s heartbeat and a siren of red and white."" https://t.co/xh5c33HVDA https://t.co/ilHfbH4JAJ",RT @charlie_savage: Fallout from the IG findings this week that the FBI has been keystone kops on FISA wiretap applications across the boar…,President Trump and the coronavirus task force are giving updates on their response to the pandemic. Live coverage on Fox News. https://t.co/dSSCLp4Eur
52,The Trump Administration has discussed a mandated shutdown of oil production in the Gulf of Mexico due to the coronavirus spreading among workers https://t.co/4pSElzgFdo,"The United States Tennis Association has released a statement advising not to play tennis during the coronavirus pandemic, saying it believes that ""it is in the best interest of society to take a collective pause from playing the sport we love"" https://t.co/LCbfHyCXE5","“We’ve got people dying. I don’t want to wait for permission.” Gov. Larry Hogan, Republican of Maryland, finds himself among the ranks of state officials squaring off with the White House during the coronavirus outbreak. https://t.co/bLPCSIAy3S","Deal gets done
https://t.co/sBWQzRCVM5"
53,"An hour after an anti-regime group invaded North Korea’s embassy in Madrid, Spanish police rang the doorbell. Inside the secretive group trying to topple Kim Jong Un. https://t.co/x11LNnTae3",A group of firefighters from the New York City Fire Department showed up at Elmhurst Hospital in Queens this past week to thank and cheer on medical professionals https://t.co/qJezCWOBmQ https://t.co/dewbUeHXyy,Evening Briefing: Here's what you need to know at the end of the day https://t.co/rSQHQW2w9Z,https://t.co/gpRBJyszLZ
