,Wall Street Journal,CNN,New York Times,Fox
10,“Nothing like this has been tried before in modern history.” Inside China's war on coronavirus. https://t.co/GohV2qOKNY,"Movement around the country is only permitted for business or health reasons, with police carrying out checks on highways and trains. Airports remain open, but several airlines have canceled flights to Italy.
https://t.co/7O3pGcLKgy",Michigan has the biggest share of delegates at stake today. Our reporter @TripGabriel went there to talk to loyal Bernie Sanders supporters ahead of Election Day. https://t.co/7mR5zd5Ov5,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a ""college country night"" at a bar. https://t.co/dMV68Hfdz0 https://t.co/3L1NdaQctI"
11,Are you getting lots of political text messages? @EmilyGlazer shows you how to make them stop. #WSJWhatsNow https://t.co/BB9AVojZI8 https://t.co/odgyDSZ2CL,"More than 37,000 children are out of school after the St. Paul, Minnesota, teachers union went on strike because a dozen mediation sessions had not yielded movement on educators' demands for better mental health and multilingual services for students.
https://t.co/GIFn6e43Lg",Joe Biden and Bernie Sanders ended Super Tuesday last week — when a third of all delegates were on the table — in a close race. Here's where the delegate count stands now. https://t.co/3N7YlFMeLS https://t.co/cHN9V0FU28,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV"
12,The music industry is feeling the effect of the coronavirus: Coachella organizers are considering postponing the festival  https://t.co/BwxFtFPD8d,"US F-22 stealth jets and Canadian CF-18 fighters intercepted two Russian reconnaissance aircraft while they were flying off the Alaskan coast on Monday, according to North America Aerospace Defense Command https://t.co/RcJTk88GZH","352 delegates — which will help determine who wins the Democratic nomination — are at stake today. Here's how many from each state:

Michigan: 125 delegates
Washington: 89 delegates 
Missouri: 68 delegates
Mississippi: 36 delegates
Idaho: 20 delegates
North Dakota: 14 delegates","California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ"
13,"An auto-plant worker told Biden he was “actively trying to end our Second Amendment right and take away our guns.”

“You’re full of shit,” Biden responded. https://t.co/MmtsMQNLpi","A man who was due to undergo coronavirus test ""absconded"" from a Zimbabwe hospital, the country's health ministry said.
https://t.co/ezTAbnmjXQ",It's Election Day again in the Democratic presidential race: 6 states are holding primaries or caucuses. Here's a guide to the night. https://t.co/o4ULej6pBa,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunman opened fire inside a country dance bar. https://t.co/PvITYr54AX https://t.co/HDI9jtgPvW"
14,"Grocers are grappling with a surge in demand for bleach, toilet paper, bottled water, canned foods and other supplies, as fears about Covid-19 spread  https://t.co/66J5fLIFbQ","Until recently, travel insurance wasn't much help in a global health scare. But now some insurers and state regulators are responding to traveler's frustrations and loosening restrictions on travel claims. https://t.co/uu4DkqGOAD","Greece is detaining migrants at a secret site, then expelling them to Turkey without due process. The harsh steps may violate international law.
https://t.co/1PASamxCLA",13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte
15,"#WSJWhatsNow: After their worst day since 2008, the major indexes regained some ground Tuesday https://t.co/y22eBMTviO","Harvard University is moving to virtual classes because of the novel coronavirus outbreak and the university is asking students to move out of their dorms in five days, according to university spokeswoman Rachael Dane. https://t.co/e2q1EgZeGM","RT @coopnytimes: BREAKING: The Los Angeles Opera, which Plácido Domingo helped found, says its investigation received 10 allegations that h…","12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ"
16,The Ivy League canceled its conference tournament. Yale’s men and Princeton’s women will receive the conference’s automatic bid to the NCAA tournament. https://t.co/hvUWFtkbgu,"As Washington tries to figure out ways to mitigate the threats the coronavirus poses to the US economy, President Trump has said he might back a payroll tax cut for workers. https://t.co/IkA3BmaKfT","On Monday, a suburban school district in the Seattle area became the first in the region to move all of its classes online. Here’s what that looks like for one family with a 2nd grader and a 6th grader. https://t.co/hzXjrU7pZc","Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5"
17,"Cubicles and private offices have made way for open floors, where a sneeze or cough can circulate uninterrupted https://t.co/6UQLsEvJaV",Who will take the lead after Super Tuesday Round 2? @JoeBiden and @BernieSanders battle it out in 6 more states for the chance to take on President Trump in November. Special coverage starts at 4 p.m. ET https://t.co/PpzORNE6Vx,Update: Joe Biden has also called off a rally planned for Tuesday night in Ohio over coronavirus concerns https://t.co/Oc80MAAt0q,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK
18,Workers are outing dish-shirkers on Slack. Kitchen signs snowball. The office dish wars are on. https://t.co/DNmliCnKep,"More than 4,850 novel coronavirus tests have been run in public health labs across the US, CDC Director Dr. Robert Redfield says. https://t.co/4oelcEQs2a","Breaking News: Bernie Sanders called off a rally planned for tonight in Ohio, the first major U.S. campaign event canceled due to coronavirus fears https://t.co/3Af2TY67bv","Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5"
19,A federal appeals court ruled Congress can have access to grand-jury materials from Mueller’s investigation of Russian interference in the 2016 election https://t.co/fBoBKzBvgt,"""Are markets overreacting to the coronavirus, or is the US economy on the verge of taking a major hit?"" writes Gad Levanon for @CNNBusiness Perspectives. ""It depends on the extent to which the virus escalates. The US economy faces two potential scenarios."" https://t.co/VL1v49fobA","A 69-year-old man in New Jersey is believed to be the first person in the Northeast to die from the coronavirus. He had a history of health problems and was treated last week for a fever and cough, officials said, but was not tested until Saturday. https://t.co/fceekBYODh",Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happening now is they’re making phone calls. They’re calling family members. They’re probably not reaching them.” @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/gOkAg30RHR
20,"The battleground state of Michigan, and 5 other states, cast ballots on March 10, as Biden looks to solidify his lead over Sanders https://t.co/HDVHDD0yk8","Community members found two rare white giraffes in a skeletal state in Garissa County, Kenya, after poachers killed the mother and her calf, Ishaqbini Hirola Community Conservancy rangers confirmed this morning.
https://t.co/u1gWSr54kG","RT @sarahkliff: I'm looking to talk to emergency room workers (doctors, nurses, physician assistants...whoever you might be) about how prep…","Las Vegas shooting survivors were inside Thousand Oaks bar, friends say https://t.co/nW9TLTON9n"
21,Breaking: New York is sending the National Guard to the New York City suburb of New Rochelle to help set up a coronavirus containment area https://t.co/Cfrj92gy5G,"One of music's largest events will be delayed over coronavirus concerns. Two sources with knowledge of the matter tell CNN that organizers for the Coachella Valley Music and Arts Festival will postpone the event, potentially until October https://t.co/86H5aAEfLS","—Gov. Andrew Cuomo announced a targeted containment strategy for the coronavirus in New Rochelle
—Officials in New Jersey announced the first virus death in the U.S. Northeast

Follow @NYTMetro’s updates about the coronavirus in the New York region here. https://t.co/EKR6GibGnc","UPDATE: At least 11 wounded in shooting at California bar, gunman dead, police say https://t.co/awRowfbeRy"
22,"Trump must overcome his administration’s misconceptions of the coronavirus crisis and frictions with other political leaders whose cooperation is essential, @Greg_Ip writes https://t.co/QWJVwQygoA","The second person ever to be cured of HIV is still free of active virus more than two years on, a study reveals. He underwent a stem cell transplant to treat lymphoma and his donor carried a mutation known as CCR5-delta 32, which made him resistant to HIV. https://t.co/JVsg284ELk","Wall Street rebounded as investors looked to Washington to bolster the economy. The S&amp;P 500 finished the day up nearly 5%.
https://t.co/5SRWQRQ25b",Authorities confirm gunman is dead @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/a2EIH1EWmA
23,The GOP is racing to stop a Texas candidate who tweets photos of women’s breasts and supports teaching students conspiracy theories: “We will crush him or I will light myself on fire.” https://t.co/SNEB7EXY3l,The unprecedented measures the Italian government has taken to contain the coronavirus are likely to push an already shrinking economy into a sharper downturn — and put the tourism industry under intense pressure. https://t.co/aWUyDpHL8h,"“Being near other people also allows us to express our most human qualities, like empathy and collaboration,” writes @kevinroose. “Those are the skills that can’t be automated.” https://t.co/jC1VafsBwv",Ventura County Sheriff’s Office Captain Garo Kuredjian: “I don’t know what the condition of any of the victims are at this point.” @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/LYNF2uFfzz
24,Some of the world’s largest companies are exploring hydrogen as a potential solution to growing energy needs. Could this mark the end of the fossil-fuel era? #WSJWhatsNow https://t.co/QdeDxMfGbV,New York Gov. Andrew Cuomo announces plans for a containment area north of New York City as the state works to stop the spread of coronavirus https://t.co/vCLbPvgL26,"Gov. Andrew Cuomo said New York State does not plan to close streets or impose travel restrictions as part of its coronavirus containment zone in New Rochelle. “You’re not containing people,” he said. “You’re containing facilities.” https://t.co/gs4rLznYH4","At least 11 shot, including sheriff’s deputy — Jonathan Hunt has the latest from the scene of the California shooting @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/xJQI5k14Wa"
25,"Heard on the Street: The world’s financial system is less fragile today than it was during the financial crisis, which should help limit the consequences of extreme market moves https://t.co/jJGgEJGl8x",The House wins access to secret grand jury material gathered in former special counsel Robert Mueller's Russia investigation and cited in his report https://t.co/22SW4YrhA7,"RT @sapna: for years, Outdoor Voices was a startup/direct-to-consumer darling. but with the exit of its 31-year-old founder last month, its…",Witnesses describe chaotic scene during Thousand Oaks shooting https://t.co/qE8RqKGjz3
26,"To many analysts, the scale of Tuesday’s moves suggests markets are still in the midst of a tenuous recovery that may take days or weeks to fully unfold https://t.co/dLmUXDm2AC",Who will take the lead after Super Tuesday Round 2? @JoeBiden and @BernieSanders battle it out in 6 more states for the chance to take on President Trump in November. Special coverage starts at 4 p.m. ET https://t.co/LHbeUmqbuF,Harvard College and Ohio State University are the latest major American universities to suspend in-person classes and move to an online format in response to the coronavirus outbreak across the U.S. https://t.co/izYLVqjzeh,UPDATE: At least 11 people hurt in California shooting @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/RGWIkaxF4f
27,"Dick’s Sporting Goods said it will stop selling firearms in most stores, eliminating the hunting department at about 440 locations https://t.co/tfkk4q0IZ9",Russian President Vladimir Putin could stay in power until 2036 after lawmakers voted in favor of a last-ditch proposal to reset the clock on the leader's presidential term count in an updated version of the constitution. https://t.co/Lqbm79yBYw,"The mayor of Kansas City, Missouri, was turned away when he tried to vote in the state's primary on Tuesday. ""If the mayor can get turned away, think about everyone else,"" he tweeted.
https://t.co/O6umrUJFK6","Daniel Hoffman on California shooting: “This still an active shooter scene, and the focus is on dealing with that active shooter and trying to limit whatever more damage that this guy could cause.” @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/gbASVFGWPJ"
28,"“Our country does not have the same capacity to do the massive testing that the other countries did,” said New York Gov. Andrew Cuomo as the state confirmed new coronavirus infections https://t.co/pbIf7fFs9P","The Republican mayor of Sterling Heights, Michigan, a key battleground state, is voting for Biden in Michigan's Democratic primary Tuesday after supporting Trump in 2016, telling CNN that his decision is about wanting ""basic human decency"" in a president. https://t.co/dGH47B2CQ1","When a New York lawyer went to a suburban hospital with breathing trouble, doctors put him an ordinary room, believing he had pneumonia. 4 days later they figured out what actually ailed him: the coronavirus. https://t.co/vWBEnwBrHp","Former Las Vegas Metro Police Lt. Randy Sutton: “Those who respond to this show incredible bravery, because they are willing to quite literally run to the sound of the gunfire.” @FoxFriendsFirst https://t.co/PvITYr54AX https://t.co/eL3dT60BAL"
29,"From @WSJopinion: Unlike political adversaries, the coronavirus is not something Trump can bluff, threaten or placate, writes @wrmead https://t.co/Yxdq2XQ7fN","The Amazon rainforest could turn into a grassy savannah within 49 years of reaching an ecological tipping point, scientists warn. https://t.co/SmdqOaDBJ5","RT @kevinroose: WFH sucks. That's it, that's the column. https://t.co/m4GermHAZn","Authorities deliver a briefing on a shooting in Thousand Oaks, California. (Courtesy: KCBS) https://t.co/5VGZz3rDIL"
30,"The hotel industry could fall into a tailspin from the spread of the coronavirus. Analysts say New York, Los Angeles and Las Vegas may be especially vulnerable. https://t.co/3Yi8ePewPD","Here are some of the things companies, managers and employees need to know based on current guidance about the coronavirus outbreak. https://t.co/ErHbCufM6P","Doctors say the more than 555,000 homeless people in the U.S. are at a higher risk of contracting the coronavirus, and that if the chronically homeless catch the virus, they are more likely to die from it because of a lack of reliable health care. https://t.co/LqsVhYZsMc","Mass shooting at California bar, @HeatherChilders &amp; @JackieibanezFNC have the latest @FoxFriendsFirst https://t.co/PvITYqNtcn https://t.co/QXxTLXonWe"
31,"After employees started falling ill with the coronavirus, executives at a German auto supplier and health officials used detective work, rapid testing and isolation to limit the spread https://t.co/Wy0zn6seqM","After Italian soccer player Francesco Caputo scored, he ran to a TV camera and unfolded a sheet of paper with a message about the coronavirus outbreak in the country: ""Andrà tutto bene. Restate a casa."" Translation: ""Everything will be fine. Stay at home."" https://t.co/aJR4X17FT8","Coachella organizers are in talks to postpone next month’s festival until October to avoid outright cancellation because of the coronavirus, according to a person briefed on the negotiations https://t.co/oXR7APREXB",Tesla names Robyn Denholm as Chairman to replace Elon Musk (via @FoxBusiness) https://t.co/SKjBXxUdOD
32,"Russian President Vladimir Putin backs a proposed constitutional amendment to reset his term limit, which could extend his grip on power until 2036 https://t.co/g1fQE6xTCC","A leading UK bank said customers who fall into financial difficulty as a result of coronavirus can ask for their mortgage or loan payments to be delayed. Meanwhile, in Italy, the economic ministry said that mortgage payments would be suspended. https://t.co/346irRwR6G","Robert Mueller’s secret grand jury evidence can be shown to House lawmakers, an appeals court ruled. The Trump administration is likely to appeal.
https://t.co/kN5iKWtjAl",@marcthiessen: “The president today made very clear that he wants to cut deals with the Democrats. And quite frankly the test is whether the Democrats want to cut deals with him.” https://t.co/1i7u8uqQt9
33,Italy’s 60 million inhabitants woke up under an unprecedented nationwide quarantine and began working out what they can and can’t do https://t.co/sZACeo5UdW,"CNN's national security analyst Peter Bergen interviews infectious disease expert Michael Osterholm, who says there's very little vacant capacity in the health care system to fully deal with the effects of the coronavirus. https://t.co/Sx0qVM2xRU | @CNNOpinion","Breaking News: A one-mile “containment” zone is being created in New Rochelle, an epicenter of the coronavirus outbreak that’s just outside New York City. The state plans to have the National Guard clean schools and deliver food.
https://t.co/spHepC2Kf9",".@TuckerCarlson: ""While everyone else obsessed over dossiers and FISA warrants, Sessions worried about the mission he was hired to do. He introduced a zero-tolerance approach to immigration prosecution."" #Tucker https://t.co/5UOKxeqr8D"
34,"The Dow rebounded after Monday’s plunge, jumping more than 850 points at the open, as investors awaited possible economic stimulus measures https://t.co/R5bD1w7QBV","""Montana Gov. Steve Bullock's decision to reverse course and run for Senate tells you a whole lot about how he (and the broader Democratic Party) believe the political landscape is looking for 2020,"" @CillizzaCNN writes. https://t.co/ACIfduEQ5w | Analysis","As many victims’ families gather in Ethiopia today, read about their loved ones and what the families say still needs to be done.
https://t.co/7JHSZeMHs3","Wife's dying wish was for him to clean up bloody crime scene, suspect claims: reports https://t.co/7Wxd39jDEB"
35,"In China, reports of new cases dwindle and numbers of sick people fall https://t.co/40KCxkZVRL","Harvey Weinstein's defense attorneys are requesting a five-year prison sentence, the minimum for his first-degree criminal sexual act conviction, according to a sentencing letter provided by his spokesman. https://t.co/USHZ7mIMro","The crash in Ethiopia was the 2nd time in 5 months that a new Boeing 737 Max had malfunctioned, after which the Max was grounded. “If they had grounded the plane after the first crash, my dad would still be here,” said Zipporah Kuria, who lost her father, Joseph Waithaka. https://t.co/L3jNdDWzBL",DEVELOPING: Massive police response after reports of shooting at California nightclub https://t.co/awRowfsPJ6
36,"Energy investors face a reckoning, as the industry deals with low oil prices and a ticking time bomb of massive debt. Here’s what we’re watching in the markets today, with @jimwillhite. #WSJWhatsNow https://t.co/8c1gX4rsfG","""Biden, Sanders and Trump are now left to contend for the presidency, and toxic rhetoric is flying about the health and wellbeing of each candidate,"" David Perry writes for @CNNOpinion. ""We need to shift our thinking on disability and the presidency."" https://t.co/EVmygNewWW","The niece of Marcelino Tayob, a UN official from Mozambique who died on the flight, started a WhatsApp chat with a few others. The group grew quickly, becoming a clearinghouse for information, anger and plans to push for change.
https://t.co/7JHSZeMHs3 https://t.co/qrBNXyRdVd",".@senatemajldr Mitch McConnell said Wednesday that Democrats and Republicans will have to address health care ""on a bipartisan basis"" after Democrats took control of the House on Election Day. https://t.co/4ZnRX8kiCu"
37,"Beijing subway officials can single out commuters not wearing masks, thanks to an image-recognition algorithm developed with the help of Chinese tech firm Baidu https://t.co/sa1Otzc8cy","The Sixth Bar in Chicago is paying homage to one of the most beloved films of the '80s. The As You Wish pop-up, which opened in February, is a love letter to ""The Princess Bride."" https://t.co/dMYsX2qOsT","Chris and Clariss Moore of Toronto lost their daughter, Danielle. “When I heard that it felt like the whole world collapsed,” Ms. Moore said. “Did she call for me? Did she scream for us?”
https://t.co/7JHSZeMHs3 https://t.co/FRKPJamczQ","Joseph diGenova on who could replace AG Sessions: ""@ChrisChristie would have the full confidence of @POTUS, which is to me, what was missing from the relationship with Jeff Sessions."" https://t.co/SfA26v0ock https://t.co/GGr0Vxtlgg"
38,"The financial damage from canceling the Games or holding them without spectators would be too great, and a delay shorter than a year difficult, a member of the executive board for the Japanese organizing committee said https://t.co/b34pZAxAqt","Read the latest headlines on the coronavirus outbreak: https://t.co/58qfIBlr74

Subscribe to get the newsletter in your inbox each day: https://t.co/88BE2pmpgw","Our reporter, @dgelles, spoke to members of victims’ families about the lives lost. More than anything, they told him, as the families remember their loved ones, they are left trying to make sense of the incomprehensible. https://t.co/7JHSZeMHs3 https://t.co/ICoqOz7hnn",Dem @GavinNewsom's wild victory party in LA features controversial rapper @common https://t.co/V9SSpxOUH7
39,“We’re at a point where we have a chance to contain this.” Disease detectives in New York are trying to halt the spread of coronavirus. https://t.co/JczSoyY1rI,"Coronavirus has no doubt put the travel industry into a tailspin as people opt not to risk catching the disease. Now, travelers are being offered substantially reduced airfares and free extras at hotels — even during the upcoming peak summer travel season. https://t.co/duSVswjIPb","Today marks one year since Ethiopian Airlines Flight 302 crashed. The accident claimed 157 lives, including humanitarians, executives, students and retirees. Now, the victims’ families are pressuring governments and companies to overhaul aviation safety.
https://t.co/O32UjXV4WC",".@jasoninthehouse: “Attorney General @jeffsessions is a patriot. He was a good Republican, and I applaud him for his service. The problem I had with him as attorney general is he simply didn’t do his job.” https://t.co/dt20ToQwDz https://t.co/zgncAU8Aaq"
40,"Hotel owners in New York, Los Angeles, Las Vegas and other cities that count on foreign visitors could be especially vulnerable over their debt loads. https://t.co/QQyYnKGjjM","Dick's Sporting Goods will stop selling guns at 440 additional stores this year, escalating the company's methodical elimination of firearms from its stores. https://t.co/JPg2iqYAva","Newly unsealed court papers offer a look into the days that followed Harvey Weinstein’s downfall. He emailed desperate pleas for help to 2 dozen influential people, including Mike Bloomberg and Jeff Bezos, after exposés of his conduct were published.
https://t.co/8jNHw2WkOL","Devotees lit earthen lamps in Ayodhya, India as part of Diwali celebrations, also known as a festival of lights, on Tuesday night. The northern Indian city broke a Guinness World record with the display. https://t.co/I8HMXyg4eu"
41,American Airlines will reduce domestic and international flights and Southwest's CEO plans to take a pay cut in response to the coronavirus epidemic https://t.co/n6UwmgnlkY,"New York will be producing its own hand sanitizer, Gov. Andrew Cuomo said. The announcement came in the wake of widespread shortages caused by the novel coronavirus outbreak, which have led to price-gouging both online and in stores. https://t.co/yCkDHIGzGU","Some conservatives, including Mike Pompeo, Sen. Tom Cotton and Rep. Paul Gosar, are using the term “Wuhan virus” to describe Covid-19. Critics accused the term, which goes against the recommendation of health officials, of being racist and xenophobic. https://t.co/z31zlTHCaL",".@TGowdySC on Jeff Sessions resigning: ""It was going to happen...He's been a proverbial dead man walking for several months now."" https://t.co/SfA26v0ock https://t.co/2slqNwNZnP"
42,"Passengers on the Grand Princess have been sent to military bases for isolation and quarantine after disembarking from the cruise ship in Oakland, Calif. Several passengers and crew have tested positive for #coronavirus. #WSJWhatsNow https://t.co/CmHgbqA2ZU","""A set of states that begin voting today are the Vermont senator's best — and possibly last — chance to regain his footing in the 2020 race,"" CNN political analyst Ronald Brownstein writes. https://t.co/BThiVTx3nb | Analysis",Nursing home industry leaders on Tuesday said they are recommending screening and limits on most social visits in the thousands of nursing homes and assisted living centers in the U.S. https://t.co/kkegFH4c8a,Mob chants threats outside @TuckerCarlson’s DC home https://t.co/IJE8m5gjWi
43,"Virtual classes might work for Seattle kids facing coronavirus closures, but many schools—and families—aren’t as ready. https://t.co/BpT7qpPDxy","More than two dozen people involved in the horse racing industry have been indicted for taking part in a scheme to give racehorses performance-enhancing drugs to help them win races around the world, federal prosecutors say https://t.co/j0vQDFz9PQ","RT @RBlumenstein: Taken together, these men and women helped me understand my hometown better, and I hope you as well. Thank you to everyon…",".@TuckerCarlson: ""Supporting marriage and children is the best, maybe the only way, for Republicans or any of us to save the country."" #Tucker https://t.co/Vkxn0UUtr8"
44,"New round of primaries provides opportunity for Bernie Sanders to regain footing, or Joe Biden to consolidate lead built last Tuesday  https://t.co/MnA75mwd7T","Smartphones are notorious germ magnets, and Apple has issued new gadget-cleaning guidance as the novel coronavirus outbreak spreads. https://t.co/8cNObRWYkY","For the first time since the coronavirus epidemic began, President Xi Jinping of China toured Wuhan, hoping to demonstrate that his government was containing a crisis that has tarnished his image at home and abroad
https://t.co/g96ZnneVUD",.@KennedyNation: Dems in 2020 better without Nancy https://t.co/54vTCiffG4
45,"U.S. stock futures jump a day after Wall Street's worst session in 12 years, while Treasury yields tick higher and oil recovers some ground https://t.co/NgXKeNTFPR",Who will take the lead after Super Tuesday Round 2? @JoeBiden and @BernieSanders battle it out in 6 more states for the chance to take on President Trump in November. Special coverage starts at 4 p.m. ET https://t.co/nFe6pYt4vf,"RT @deborah_solomon: Trump will meet with CEOs from the big banks, along with trade groups and community bankers, at 3 pm on Wednesday http…",Battleground-state Dems who opposed Kavanaugh all defeated https://t.co/guqMSVjd74
